R2,R3,R7,R8,Max_Shaking_Moment
107.64217999034237,631.6751258034176,77.40564643907982,347.73227681736296,3527471.329774329
132.8546101992339,791.0323909237859,52.51725789713806,493.48658876681696,5135877.367168734
105.5449377836937,752.4122577992586,83.09121350287288,465.9878815505883,4672438.445194775
65.36763647838089,638.6354435098726,107.23712508685477,364.87034688268983,3573935.881623022
196.64187057060087,734.5531156347826,245.11442694366582,465.4673653274088,4525533.266205892
58.81747498879747,734.8342824713167,60.16345397925902,458.3287912499657,4471103.943798138
67.81476412682734,646.3564374486555,74.5657917529473,367.0135868143765,3637364.2566073076
108.2264548387768,684.9419492617071,95.75034283478098,413.4974785296757,3984403.253500964
106.36188338295243,689.9044182452016,158.14564662946356,420.7622954215543,4030205.8214388224
118.58231181427334,759.4927792631424,141.23250672431075,484.2447991187982,4756379.774490783
141.8553554715026,586.0443926150466,126.79683816434242,316.83913148402775,3205111.4112899904
140.64508258280395,717.4404559231666,96.06112350264182,427.9668469682075,4312191.387144688
183.37465743861367,552.2830369007153,215.9532116268883,276.64332612496605,3012583.051292068
85.03363180279878,663.9596827081111,120.3409919144176,391.37856190081754,3789917.2486871886
151.38445066360134,787.4266547453846,136.8927361944562,512.2322796748799,5100132.110781901
169.78748427105535,668.3375016023058,189.70843492516389,389.3647102239445,3861869.7244787645
156.75423658457703,709.656972502119,171.35955498171307,435.664648980916,4241959.123990305
167.90870642876365,700.1846524105242,196.60000796492128,426.60149746687347,4155465.2090721256
82.45432845734514,798.6649463597448,112.3622764961026,529.0740654367753,5216042.064075005
121.23062058434763,667.2784019511314,77.5764179362217,382.79473771234495,3828991.177509096
146.41072677617893,718.7951218017299,139.32897905963137,448.9678575496489,4328698.293318774
56.739288898412156,759.1518933870658,105.68287139567158,484.72514027027887,4738741.568045671
124.29992348914493,580.5923928480618,96.36712497420466,300.4895768906079,3161089.4777559065
130.5602660494365,765.9668577332021,73.74937599279654,494.61621435159265,4835152.279011818
191.0589818019077,790.1875320802521,201.10273265087193,511.7600035508427,5159549.828861843
81.65368824870775,702.358303470284,121.16087309171955,426.4394750694248,4143537.00136866
170.611160067803,648.8985921137014,202.10523423661218,371.5658411856942,3695626.961196019
101.42819502009178,612.1274501988348,115.07660921088461,334.72737702764675,3376070.316141309
122.18450429608876,783.1731096793278,115.76467337926202,511.6186223507159,5035701.9126359895
104.27820996063276,712.4310422960588,108.01049958470799,431.8892798053206,4248453.204915241
193.31975098490827,644.6044186772867,173.6305689055725,365.6793278451154,3676356.4945614836
154.73289989164098,604.6196348254028,128.02718220948213,315.044078878493,3341940.5978474487
131.40307481793303,795.8789822933718,156.23872041652828,525.537021754807,5195483.65357799
130.9242117463727,539.5934529922629,122.16427412786881,267.7660073912635,2908438.007858359
195.88376491355325,767.2257326950446,203.43583350644585,489.6975111171595,4888635.983571265
78.77190856846765,781.2166395795266,80.96803666803217,505.81964323370386,5000507.189219276
167.27503945260617,672.9119824154005,160.42020807823633,400.6243757962677,3900979.1200745306
103.06639029660346,716.6699749746508,117.77971795583856,441.32246138570656,4290870.612183146
45.74876319032846,741.5434844346235,65.16858914043566,464.97386699060337,4541732.640071965
114.27806049363176,713.0186988734062,154.35846462753818,446.4688927609359,4257349.3397466615
182.19374657659648,725.4223454191289,233.35931178132466,453.9759301785848,4418323.446545908
72.32287852227243,703.742931280701,67.43088402546324,434.09260673321626,4155361.726886296
197.25177595161927,733.4520161431072,208.48552921386536,453.68372852615477,4514323.299978469
106.22027000577809,686.8065363587407,91.3159219005754,418.71093677180403,4001155.322573533
186.8884916633868,716.8637224908482,185.46118981039632,448.429863834279,4333858.8161582695
114.37195115901027,749.6317130922394,92.88174468374805,478.72771191738,4644151.260261126
164.22855392618874,782.0937058629659,170.55020000870837,505.0473098104415,5042449.675905956
108.2677508413221,737.4801577461443,148.79224048419883,464.2854621033491,4509622.644915426
183.51149088401766,596.2680825440538,221.3154362063897,324.2939385618431,3300377.858927177
178.53028378427769,530.8692441903131,181.0496691107876,257.72883296099894,2884476.06457819
140.7424854395009,773.9644922937126,138.57396866804277,498.77109735100754,4933070.645938201
111.79491964371991,572.1321311373176,95.3816817348831,301.2870993454616,3101139.010610334
118.02936622517092,722.1148803856751,163.40221283778033,454.22240265410267,4351100.838858162
